,username,description,location,text,hashtags
50,yasinhamidani,Indian - Entrepreneur | Visiting Faculty - Mum University | Struggling Muslim | Tweets Are Personal Opinion| PR & Digital Marketing Specialist| Brand Developer,"Mumbai,india","This video clearly indicates the upbringing of these kids and how they are brain washed into religion fights for #BJP agenda to divide the country. Those days aren't far when these future will be jobless &amp; only left to do crime, drugs and violence in India #HijabRow https://t.co/tVYRdzwrCG","['BJP', 'HijabRow']"
51,sanalnly,Online Newspaper in the world,"Dubai, United Arab Emirates","Recall - Official Trailer (2018) Michael James Regan, Tommy James Murphy - Crime/Drama HD
https://t.co/8WzXe9bPnV",[]
52,saqib_nazir,"https://t.co/NFRaukFTwg as a Sr.Executive for TradeRelation Dept,  Also work in https://t.co/o5GfPfK9Pe perform SEO (On & Off Page Task) SEM task, than Softnology.",Pakistan,@endsubcontracts @LifeAtLUMS Corruption Bankruptcy Legal Crime Illegal Fraud Blockchain Crypto Money Laundering NUST LUMS Oxford MIT University.,[]
53,GoaIpob,"BIAFRA FREEDOM IS THE REAL GLOBAL WARNING!
BIAFRA FREEDOM IS SACROSANT,DIVINE & HEAVENLY MANDATE. COVID-19 IS A PLAGUE FROM GOD BECAUSE THE WORLD IGNORE BIAFRA!",Goa India,"Humiliation is a crime, oppressing is a crime,
Terrorist is a crime,
Bandit in a country is crime 
Group of hersman also commenting a crime in jungle country called Nigeria, all this group committing this crime is Fulani caliphate and Fulani caliphate jihadist rule the country.",[]
54,JubbaOnJeans,"Idly-Dose fan. 
Writing https://t.co/F6s5tXWv0R
InfoSec
Journalism
Tech
Cricket
Bangalore
Birding
Security @razorpay . Formerly @sw_integrity. Tweets my own","Bengaluru, India",@akshayalladi 'lawlessness' makes it seem like it's a crime. Who exactly are the victims of loose enforcement of school uniforms?,[]
55,INCRajenPalani,"Healthcare Professional , General Secretary-North Central District Congress Committe. https://t.co/GegB3hp51m https://t.co/rezgifY8Fc","Mumbai, India","@rais_shk On one hand we speak of #girlsafety #womensafety and on other hand we encourage such heinous crime ! Will we digest this incidence if it would have been a Hindu Girl ?
Karnataka Govt should take strict action against such group !","['girlsafety', 'womensafety']"
56,RVWhitkerFE,end me | If I like slightly NSFW art then it likely means Iâ€™m depressed,Bed,@Schaffrillas Inside not getting any nominations is a crime.,[]
57,INCRajenPalani,"Healthcare Professional , General Secretary-North Central District Congress Committe. https://t.co/GegB3hp51m https://t.co/rezgifY8Fc","Mumbai, India","@KrisNair1 Itâ€™s proved ! On one hand we speak of #girlsafety #womensafety and on other hand we encourage such heinous crime ! Will we digest this incidence if it would have been a Hindu Girl ?
Karnataka Govt should take strict action against such group ! https://t.co/EfkxbggIRD","['girlsafety', 'womensafety']"
58,Scimitar_SS,"Winter is upon us. Unless we #DestroyTheAadhaar & #BanDigitalElections, this night is going to be dark & full of terrors.",Poona,"Evey crime is a Covid crime

Behold the #BioSecurity state 

#BioTerrorism #DoNotComplyEVER #IwillNOTComply #VaccineAgenda #Plandemic #Scamdemic https://t.co/P0r0ElLhQQ","['BioSecurity', 'BioTerrorism', 'DoNotComplyEVER', 'IwillNOTComply', 'VaccineAgenda', 'Plandemic', 'Scamdemic']"
59,INCRajenPalani,"Healthcare Professional , General Secretary-North Central District Congress Committe. https://t.co/GegB3hp51m https://t.co/rezgifY8Fc","Mumbai, India",On one hand we speak of #girlsafety #womensafety and on other hand we encourage such heinous crime ! Will we digest this incidence if it would have been a Hindu Girl ? Karnataka Govt should take strict action against such group ! #ABVPTerrorismInKarnataka https://t.co/1qZWKW1YGT,"['girlsafety', 'womensafety', 'ABVPTerrorismInKarnataka']"
60,umeshpaul007,Creation Innovation Relation Digitalisation ( G.SYSTEM ANALYSIS)Endorsement,Delhi India,Decisions Your Crime or Development correct vote Support https://t.co/laJxf0yQin https://t.co/QL8o6MYf8J,[]
61,PraashantR,Deals in Pressure Garments and Orthotic Products this is official account of Praashant from Zila Ghaziabad....so call Seculars pls avoid me...(PROUD HINDU),"Ghaziabad, India","@ReallySwara If a muslim wear Burqa inside the college premises that's not a problem but if a Hindu wear bagwa inside the college premises that's a crime. Why?PS: ""Educational institutions have their own dresscode, Please don't turn it into the religious https://t.co/MIBLUQWiqH offence to any",[]
62,reni_01_rzzz,"#LoveIndia
#JaiHind","Uttar Pradesh, India",@Aelaaa12 @pranav_sk @OnPathOfSeeking @boomlive_in @RifatJawaid @BombayBombil Even Muslims are minority still they contribute alot towards crime in India more than any other fields in India.,[]
63,imkhan5csn,Self-Employed,"Chalisgaon, Maharashtra, India","Millions Salute to my Brave Sister who is Protesting alone for Her fundamental right in #Karnataka Wearing Hijab is not a Crime.If these unwanted activities will happen incessantly in future.There will be another division very soon like 1947.
#HijabRow 
#KarnatakaHijabRow https://t.co/JpFJXdn1kz","['Karnataka', 'HijabRow', 'KarnatakaHijabRow']"
64,gugguluu,,"Gurgaon, India",Is stealing a couple of Gems while opening the packet for a kid a crime?,[]
65,KalmatiHamad,HSK,"Sindh, Pakistan",Collective punishment is a crime how can you abduct students who wants nothing but only education?!  #ReleaseHafeezBaloch https://t.co/w5DsDPTK78,['ReleaseHafeezBaloch']
66,VijayHar01,"Engineer By Profession
Advocate By Nature","Chandigarh, India","@KumaarSaagar @CPDelhi No national TV cover &amp; Telecast this news!!
Painful reality /most socity don't want to see it/ So national media only telecast where Men did crime! https://t.co/dtItuyZfJ7",[]
67,FazalAb52727217,Justice delayed justice denied. Compensation is not justice. If there is justice there is peace and amity. Ù…Ù† ÙƒØ§Ù† ÙŠØ¤Ù…Ù† Ø¨Ø§Ù„Ù„Ù‡ Ùˆ Ø§Ù„ÙŠÙˆÙ… Ø§Ù„Ø¢Ø®Ø± ÙÙ„ÙŠÙ‚Ù„ Ø®ÙŠØ±Ø§ Ø£Ùˆ Ù„ÙŠØµÙ…Øª,Ø§Ù„Ù‡Ù†Ø¯,"The crime that has happened with Muskan, the Hijaabi has disclosed that PM and home minister are deaf and dumb.",[]
68,Rohit_6400,,"Bela Pratapgarh, India","@mpsangamlal @narendramodi @JPNadda @AmitShah @myogiadityanath @swatantrabjp @BJP4India @BJP4UP Justice is not being served to Innocent Sant Shri Asharamji Bapu since last 9 years. He is being continuously Tortured for committing no crime. 
We Demand Justice For Bapuji
#à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ https://t.co/QtagVsVx0J",['à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ']
69,sohairarif97,"Compassionate, Blogger, Communicator & Researcher.","Karachi, Pakistan","""Poverty is the parent of revolution and crime.""
-
{Aristotle}
-
Prophet Muhammad Islam Syria Yemen Lioness #AllahHuAkbar #Sherni #HijabRow Karnataka Messi","['AllahHuAkbar', 'Sherni', 'HijabRow']"
70,AndyBajaj53,à¤­à¤¾à¤°à¤¤à¥€à¤¯,India,@smarket You can't forget their partners in crime especially in India. Red &amp; Green,[]
71,Vinay4559,"""à¤…à¤¹à¤¿à¤‚à¤¸à¤¾ à¤ªà¤°à¤®à¥‹ à¤§à¤°à¥à¤®à¤ƒ à¤§à¤°à¥à¤® à¤¹à¤¿à¤‚à¤¸à¤¾ à¤¤à¤¥à¥ˆà¤µ à¤š:

à¤§à¤°à¥à¤® à¤à¤µ à¤¹à¤¤à¥‹ à¤¹à¤¨à¥à¤¤à¤¿ à¤§à¤°à¥à¤®à¥‹ à¤°à¤•à¥à¤·à¤¤à¤¿ à¤°à¤•à¥à¤·à¤¿à¤¤à¤ƒ ||
à¤¤à¤¸à¥à¤®à¤¾à¤¦à¥ à¤§à¤°à¥à¤®à¥‹ à¤¨ à¤¹à¤¨à¥à¤¤à¤µà¥à¤¯à¥‹ à¤®à¤¾ à¤¨à¥‹ à¤§à¤°à¥à¤®à¥‹ à¤¹à¤¤à¥‹à¤½à¤µà¤§à¥€à¤¤à¥ ||
 follower of @ShivaShakthiOrg",India,@swathi_gls @jsaideepak Stating facts with or without any malifide intentions is a crime for you.,[]
72,Rohit_6400,,"Bela Pratapgarh, India","Justice is not being served to Innocent Sant Shri Asharamji Bapu since last 9 years. He is being continuously Tortured for committing no crime. 
We Demand Justice For Bapuji
#à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ https://t.co/1QmaDqLiTg",['à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ']
73,humanrits4men,"Work 4 Men's Welfare & coruption. #MRA, Shout for #ShareParenting #MensCommission.",India,"In the name of empowerment can woman free for crime?
#FeminismIsCancer &amp; destructive thoughts 4 society @IamSumanDe @singer_shaan @childLOVEpapa @amitdeshmra @BJP4Bengal @INCWestBengal @MoupiaNandy @ranjanakumari @parthasa @ANI @aroyfloyd @PTI_News @a_talukdar https://t.co/vBpTGyZq7O",['FeminismIsCancer']
74,midomarely,"Human Rights activist, Socialist Journalist, Feminist & Humanitarian Worker
G. Director of @wcdhr_ye Organization
 #StopArmingSaudis 
#Resister #YemenCantWait","Hyderabad, India","SAVE YEMENI CHILDREN FROM MAN-MADE PREVENTABLE WAR CRIME!
YEMEN CAN'T WAIT 

#YemenCantWait 
#StandUpForYemen 

Donate online at https://t.co/LHyxBOthZr https://t.co/CWeHzz32nP","['YemenCantWait', 'StandUpForYemen']"
75,sumitsonii,"Global Citizen, Sports Enthusiast, Entrepreneur, Active Citizen @narendramodi is my Karma Yogi. Defence and Geopolitics","New Delhi, India",This #KarnatakaHijabRow is to hide thier Jihadi crime of #KishanBharvad murder. https://t.co/rodwOE7vNM,"['KarnatakaHijabRow', 'KishanBharvad']"
76,kulapatpat,TU79 | nitade cu 55 | watch and make movies #movietwit,"Bangkok, Thailand",The French Dispatch à¹„à¸¡à¹ˆà¹„à¸”à¹‰à¸Šà¸´à¸‡ production design = CRIME,[]
77,ShahNawazAdvoc4,"Advocate, Gauhati High Court",,"If you don't want a country without Muslims please let us know .. From the day your Government came u all have finished out our brotherhood. Is it a crime wearing a burkha?
@narendramodi @PMOIndia @rajnathsingh @AmitShah",[]
78,ShabnamBayani,journalist @Alarabiya from Afghanistan ğŸ‡¦ğŸ‡« based in Dubai ğŸ‡¦ğŸ‡ª statements here are my personal opinion and view,"Dubai, United Arab Emirates","@Abdennour_101 @Massoud151 @AlArabiya @DubaiPoliceHQ Yes and I will say it again , more power to this woman who killed two terrorist Taliban, killing terrorists who have killed thousands of innocent people in last 20 year isnâ€™t crime",[]
79,gulf_news,We don't just cover the news - we uncover the truth. The official Twitter feed from Gulf News.,United Arab Emirates,"#Dubai, #India sign agreement for cross-border financial supervision

DFSA, IFSCA MoU to help clamp down on financial crime as well 

https://t.co/CQyJJhD1Z1","['Dubai', 'India']"
80,Farhadbaloch54,"student of economic at NUML University

member of @BSCIslamabad","Islamabad, Pakistan","Hafeez baloch a final year student of Mphil physics studying in Quaid-i-Azam Uni was abducted by security personnel from his home town khuzadr in a academy infront of his students. No matter from what walk you belong being a baloch is a crime in this state
#ReleaseHafeezBaloch https://t.co/v82Z7MtJdD",['ReleaseHafeezBaloch']
81,SMoran99,Military grade algorithm expert ğŸ’» Pattern analysis and deductive reasoning  ğŸ‡ºğŸ‡¸ Quantum prediction: Game Theory ğŸ¦…  Your rights end where my rights begin ğŸ’ª,MA,"Democrats have already committed the most egregious crime in US history (2020 election), now they are just padding their resumes https://t.co/rctbUzeslK",[]
82,abhiawakes,"à¤à¤•à¤¾à¤•à¥€ à¤”à¤° à¤…à¤•à¤¿à¤‚à¤šà¤¨ à¤¹à¥‹, à¤œà¥‹ à¤­à¥‚-à¤ªà¤°à¤¿à¤•à¥à¤°à¤®à¤¾ à¤•à¥‹ à¤¨à¤¿à¤•à¤²à¥‡,
à¤¹à¥‹ à¤—à¤ à¤ªà¤‚à¤—à¥, à¤ªà¥à¤°à¤¤à¤¿-à¤ªà¤¦ à¤œà¤¿à¤¨à¤•à¥‡, à¤‡à¤¤à¤¨à¥‡ à¤…à¤¦à¥ƒà¤·à¥à¤Ÿ à¤•à¥‡ à¤¦à¤¾à¤µ à¤šà¤²à¥‡!
... à¤‰à¤¨à¤•à¥‹ à¤ªà¥à¤°à¤£à¤¾à¤®","Ajmer, Rajasthan, INDIA","@AdityaRajKaul Post karne wale employees ko punishment kya diya?

Thts is not apology, they didn't said they apologize. They only ""regretted"", as if they have no part in this crime against India.

Plus, statements are from Indian units, not from their HQs.

Can pardon a mistake, but not crime.",[]
83,M_LuQmanAshraf,Studying.....,,"This video is from today and this is not Afghanistan but India, it has become crime for MuslimGirl to wear Hijab and go to school now. 100s of Pro RSS namurd are terrorising &amp; harassing this ONE Muslim girl just because of her attire and the international community is silent? https://t.co/Ns5gBM6nxR",[]
84,plumeriamovies,"Many Things for Film Lovers. | Film Reviews, and Features | PR Agency | Business and OTT Consultant",Chennai,"#TheTinderSwindler 
Netflix

True story of a conman who used the Tinder Dating app to live a life of luxury defrauding women. This true-crime documentary is as good as any crime thriller movie. Give it a try. https://t.co/aq65RWNOdm",['TheTinderSwindler']
85,dumbRehoboam,"video editor/ filmmaker
i love history , arts and cinema","Lahore, Pakistan",@TalatHussain12 Thats was his crime,[]
86,l4h0r1k1ll3r,Punjabi Muslim,Lahore,@Davidlit3 @_merajhasan Fazool theories aur scenarios shuru. You Pak Nats had no problem with the deluge of Afghan refugees who came over and ended up becoming vectors for terror and crime but suddenly an IM visitor could be a potential spy.,[]
87,shah_sheikh,Cyber Security Professional / Enthusiast / Founder.,"Dubai, United Arab Emirates",Vodafone Portugal hit by a massive cyberattack: A cyberattack hit Vodafone Portugal causing severe outages in the country of its communication and television services. Vodafone Portugal suffered a major cyberattack that caused service outages in theâ€¦ https://t.co/4TVfDbZVpz,[]
88,AbbasDayal110,"'My loathings are simple: stupidity, opression, crime, cruelty, soft music'. Vladimir Nobokov",Gilgit-Baltistan,"Does Any Religion on Earth permit this CRIME against a Woman ?
Is this What ?  Will Majority Indians Still Remain Silent and Mute Spectators?
SOLUTE TO THE BRAVE GIRL...
#HijabRow #Islamophobia https://t.co/TOK6Wv7zRd","['HijabRow', 'Islamophobia']"
89,Ianwarulhoda,"YouTube Channel Manager @videovolunteers, 
Assistant Editor @nationalindia44","Bihar, India","Today is birthday of Athar Khan who is Wrongfully Imprisoned for last 20 months. He's only crime in the eyes of oppressive state is that he stood tall strong for the rights and against the fascist regime. We stand in solidarity and wish him a lot of love, power and strength. https://t.co/ZRjdNHeGQX",[]
90,Chethan2500,,Bangalore ,"@ANI SDPI is an islamic party. They are trying to pin everything on one party. Shame on government of karnataka. 
Trust me they will arrest muslim people for this. 
All is done to defame one particular community. This is beyond crime.",[]
91,bs_hariharan3,Proud Hindu Brahmin. Spiritual practioner as per our Dharma. I am a disciple of Sringeri Matt. Follower of Sadhguru. Practice Yoga &Sambhavi Mudra,Bharat,@Rajendrap1078 They have not apologised for the crime committed but regretting.  This shows their intention after committing a huge mistake in our country.#BoycottKiaMotors,['BoycottKiaMotors']
92,MahendraBinwani,"22~ 
 

à¤œà¤¯ à¤®à¤¾à¤ à¤­à¤¾à¤°à¤¤à¥€ â¤",,"Justice is being Delayed for last 8+ years and 85+ years old Innocent Sant Shri Asharamji Bapu is being harassed for commiting no crime.#à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ
Nation Demands Justice For Bapuji ! https://t.co/p4KaWfoLB6",['à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ']
93,ismailparvez79,"Ø¨ÙˆÙ„ ØªÙˆ Ø³Ú©ØªÛ’ ÛÛŒÚºÛ”
Ø§Ù¾Ù†ÛŒ  Ø³ÛŒ Ú©ÙˆØ´Ø´ Ú©Ø±ÛŒÙ†Ú¯Û’Û”Ú©Ø± Ø¯Ú©Ú¾Ø§Ø¦ÛŒÚº Ú¯Û’Û”Ø§ØµÙ„Ø§Ø­ ÛÙˆÚ¯ÛŒÛ”ÛÙ…ÛŒÚº ÛØ±ÙˆÙ‚Øª Ø¨Ú¾ÙˆÚ© Ø§ÙˆØ± Ø±Ø³ÙˆØ§Ø¦ÛŒ Ù†ÛÛŒÚº Ù…Ù‚Ø¯Ø±Û”",ğŸ‡µğŸ‡° ,Crime? https://t.co/nNALcx8sCq,[]
94,Jackyaarkyun,Benzene-gendered || Aromatic/Polar || LFC || Arjun Erigaisi,"Kolkata, India",@wanshfr @Itachi_Reborn_ What a less crime rate in gurgaon,[]
95,p_nivedita2,General Manager @ Elcon Cable Trays Pvt. Ltd.,Pune ,@Supriyas_tadka In this I was partner of Crime ğŸ˜œğŸ˜‹,[]
96,dhingra65,"** à¤®à¤§à¥à¤° à¤®à¤§à¥à¤° à¤¨à¤¾à¤® à¤¹à¤°à¤¿ à¤¹à¤°à¤¿ à¥ **
Asstt. Manager (Per.) (Retired)","Ambala, India","@Mohan54329180 #à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ 
We demand that innocent Sant Shri Asharamji Bapu be released ASAP as He is suffering for the last 9 yrs without any crime.
Justice For Bapuji https://t.co/AbFdstF4Ow",['à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ']
97,Shaurya92892211,"à¤—à¤¾à¤¯à¤¨à¥à¤¤à¤¿ à¤¦à¥‡à¤µà¤¾à¤ƒ à¤•à¤¿à¤² à¤—à¥€à¤¤à¤•à¤¾à¤¨à¤¿ à¤§à¤¨à¥à¤¯à¤¾à¤¸à¥à¤¤à¥ à¤¤à¥‡ à¤­à¤¾à¤°à¤¤à¤­à¥‚à¤®à¤¿à¤­à¤¾à¤—à¥‡ à¥¤
à¤¸à¥à¤µà¤°à¥à¤—à¤¾à¤ªà¤µà¤°à¥à¤—à¤¾à¤¸à¥à¤ªà¤¦à¤®à¤¾à¤°à¥à¤—à¤­à¥‚à¤¤à¥‡ à¤­à¤µà¤¨à¥à¤¤à¤¿ à¤­à¥‚à¤¯à¤ƒ à¤ªà¥à¤°à¥à¤·à¤¾à¤ƒ à¤¸à¥à¤°à¤¤à¥à¤µà¤¾à¤¤à¥ à¥¥",,"@IAmDharmendra_ For 9 years Sant Shri Asharamji Bapu had been harrassed for the crime which never happened. Convicted padris &amp; maulvis are easily bailed while Govt.always negatively interfere in fake case. No release then no vote this time. 
Justice For Bapuji
#à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ https://t.co/3VjIAxqboK",['à¤¹à¤®_à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚_à¤•à¥€_à¤®à¤¾à¤‚à¤—_à¤¬à¤¾à¤ªà¥‚à¤œà¥€_à¤•à¥€_à¤°à¤¿à¤¹à¤¾à¤ˆ']
98,PluviophilePoet,Some Cricket. Some poetry. An old era no one talks about ..,"Tripura, India",Best series on planet earth is Crime Patrol. (+_+) Nothing comes close.,[]
99,rachajeons,certified yeosang simp                â˜…â˜† she/herÂ¹âµ,multi ,the fact that i don't have spotify premium is a hate crime ğŸ˜’,[]
